atlas,name,x,y,w,h,area_px
terrain_walls_manmade,fence_wood_sharp,72,140,64,64,4096
terrain_walls_manmade,hedge_trimmed,140,140,64,64,4096
terrain_walls_manmade,wall_brick_ruin,208,140,64,64,4096
terrain_walls_manmade,fence_rail_wood,276,140,64,64,4096
terrain_walls_manmade,wall_stone_moss,344,140,64,64,4096
terrain_walls_manmade,fence_wood_old,4,208,64,64,4096
terrain_walls_manmade,gate_stone_torch,72,208,64,64,4096
terrain_walls_manmade,fence_barbed,140,208,64,64,4096
terrain_walls_manmade,gate_wood_arch,208,208,64,64,4096
terrain_walls_manmade,wall_castle_battlement,276,208,64,64,4096
terrain_walls_manmade,wall_banner_red,344,208,64,64,4096
terrain_walls_manmade,fence_lattice,4,276,64,64,4096
terrain_walls_manmade,watchtower_wood,72,276,64,64,4096
terrain_walls_manmade,pillar_stone,140,276,64,64,4096
terrain_walls_manmade,fence_iron_spikes,208,276,64,64,4096
terrain_walls_manmade,fence_rail_hay,276,276,64,64,4096
terrain_walls_manmade,doghouse_brick,344,276,64,64,4096
characters,hero_0,0,0,256,256,65536
characters,hero_1,256,0,256,256,65536
characters,hero_2,512,0,256,256,65536
characters,hero_3,768,0,256,256,65536
characters,hero_4,1024,0,256,256,65536
characters,hero_5,1280,0,256,256,65536
characters,hero_6,1536,0,256,256,65536
characters,hero_7,1792,0,256,256,65536
characters,hero_alt_0,0,256,256,256,65536
characters,hero_alt_1,256,256,256,256,65536
characters,hero_alt_2,512,256,256,256,65536
characters,hero_alt_3,768,256,256,256,65536
characters,hero_alt_4,1024,256,256,256,65536
characters,hero_alt_5,1280,256,256,256,65536
characters,hero_alt_6,1536,256,256,256,65536
characters,hero_alt_7,1792,256,256,256,65536
characters,guard_0,0,512,256,256,65536
characters,guard_1,256,512,256,256,65536
characters,guard_2,512,512,256,256,65536
characters,guard_3,768,512,256,256,65536
characters,guard_4,1024,512,256,256,65536
characters,guard_5,1280,512,256,256,65536
characters,guard_6,1536,512,256,256,65536
characters,guard_7,1792,512,256,256,65536
characters,scholar_row_0,0,768,256,256,65536
characters,scholar_row_1,256,768,256,256,65536
characters,scholar_row_2,512,768,256,256,65536
characters,scholar_row_3,768,768,256,256,65536
characters,scholar_row_4,1024,768,256,256,65536
characters,scholar_row_5,1280,768,256,256,65536
characters,scholar_row_6,1536,768,256,256,65536
characters,scholar_row_7,1792,768,256,256,65536
characters,merchant_row_0,0,1024,256,256,65536
characters,merchant_row_1,256,1024,256,256,65536
characters,merchant_row_2,512,1024,256,256,65536
characters,merchant_row_3,768,1024,256,256,65536
characters,merchant_row_4,1024,1024,256,256,65536
characters,merchant_row_5,1280,1024,256,256,65536
characters,merchant_row_6,1536,1024,256,256,65536
characters,merchant_row_7,1792,1024,256,256,65536
characters,elder_row_0,0,1280,256,256,65536
characters,elder_row_1,256,1280,256,256,65536
characters,elder_row_2,512,1280,256,256,65536
characters,elder_row_3,768,1280,256,256,65536
characters,elder_row_4,1024,1280,256,256,65536
characters,elder_row_5,1280,1280,256,256,65536
characters,elder_row_6,1536,1280,256,256,65536
characters,elder_row_7,1792,1280,256,256,65536
characters,child_row_0,0,1536,256,256,65536
characters,child_row_1,256,1536,256,256,65536
characters,child_row_2,512,1536,256,256,65536
characters,child_row_3,768,1536,256,256,65536
characters,child_row_4,1024,1536,256,256,65536
characters,child_row_5,1280,1536,256,256,65536
characters,child_row_6,1536,1536,256,256,65536
characters,child_row_7,1792,1536,256,256,65536
characters,knight_0,0,1792,256,256,65536
characters,knight_1,256,1792,256,256,65536
characters,knight_2,512,1792,256,256,65536
characters,knight_3,768,1792,256,256,65536
characters,knight_4,1024,1792,256,256,65536
characters,knight_5,1280,1792,256,256,65536
characters,knight_6,1536,1792,256,256,65536
characters,knight_7,1792,1792,256,256,65536
characters,hero_idle,0,0,256,256,65536
characters,hero_walk_1,256,0,256,256,65536
characters,hero_walk_2,512,0,256,256,65536
characters,hero_walk_3,768,0,256,256,65536
characters,hero_walk_back_1,1024,0,256,256,65536
characters,hero_walk_back_2,1280,0,256,256,65536
characters,hero_side_1,1536,0,256,256,65536
characters,hero_lantern,1792,0,256,256,65536
characters,hero_lantern_idle,0,256,256,256,65536
characters,hero_lantern_walk_1,256,256,256,256,65536
characters,hero_lantern_walk_2,512,256,256,256,65536
characters,hero_lantern_walk_3,768,256,256,256,65536
characters,guard_idle,0,512,256,256,65536
characters,guard_walk_1,256,512,256,256,65536
characters,guard_walk_2,512,512,256,256,65536
characters,guard_walk_3,768,512,256,256,65536
characters,guard_side_1,1024,512,256,256,65536
characters,guard_side_2,1280,512,256,256,65536
characters,guard_back_1,1536,512,256,256,65536
characters,guard_back_2,1792,512,256,256,65536
characters,scholar_idle,0,768,256,256,65536
characters,scholar_walk_1,256,768,256,256,65536
characters,scholar_walk_2,512,768,256,256,65536
characters,scholar_side_1,768,768,256,256,65536
characters,scholar_back_1,1024,768,256,256,65536
characters,apprentice_idle,0,768,256,256,65536
characters,apprentice_walk_1,256,768,256,256,65536
characters,apprentice_walk_2,512,768,256,256,65536
characters,apprentice_side_1,768,768,256,256,65536
characters,apprentice_back_1,1024,768,256,256,65536
characters,merchant_idle,0,1024,256,256,65536
characters,merchant_walk_1,256,1024,256,256,65536
characters,merchant_walk_2,512,1024,256,256,65536
characters,merchant_side_1,768,1024,256,256,65536
characters,elder_idle,0,1280,256,256,65536
characters,elder_walk_1,256,1280,256,256,65536
characters,elder_walk_2,512,1280,256,256,65536
characters,elder_side_1,768,1280,256,256,65536
characters,child_idle,0,1536,256,256,65536
characters,child_walk_1,256,1536,256,256,65536
characters,child_walk_2,512,1536,256,256,65536
characters,child_side_1,768,1536,256,256,65536
characters,knight_idle,0,1792,256,256,65536
characters,knight_walk_1,256,1792,256,256,65536
characters,knight_walk_2,512,1792,256,256,65536
characters,knight_side_1,768,1792,256,256,65536
characters,knight_back_1,1024,1792,256,256,65536
monsters,shadow_idle_front,0,0,256,256,65536
monsters,shadow_walk_front,256,0,256,256,65536
monsters,shadow_idle_back,512,0,256,256,65536
monsters,shadow_walk_back,768,0,256,256,65536
monsters,shadow_idle_left,1024,0,256,256,65536
monsters,shadow_walk_left,1280,0,256,256,65536
monsters,shadow_idle_right,1536,0,256,256,65536
monsters,shadow_walk_right,1792,0,256,256,65536
monsters,shadow_attack_front,0,256,256,256,65536
monsters,shadow_attack_left,256,256,256,256,65536
monsters,shadow_attack_right,512,256,256,256,65536
monsters,shadow_hurt,768,256,256,256,65536
monsters,shadow_death_1,1024,256,256,256,65536
monsters,shadow_death_2,1280,256,256,256,65536
monsters,shadow_death_3,1536,256,256,256,65536
monsters,shadow_vanish,1792,256,256,256,65536
monsters,slime_idle,0,512,256,256,65536
monsters,slime_bounce,256,512,256,256,65536
monsters,slime_idle_2,512,512,256,256,65536
monsters,slime_bounce_2,768,512,256,256,65536
monsters,slime_left,1024,512,256,256,65536
monsters,slime_left_bounce,1280,512,256,256,65536
monsters,slime_right,1536,512,256,256,65536
monsters,slime_right_bounce,1792,512,256,256,65536
monsters,goblin_idle_front,0,768,256,256,65536
monsters,goblin_walk_front,256,768,256,256,65536
monsters,goblin_idle_back,512,768,256,256,65536
monsters,goblin_walk_back,768,768,256,256,65536
monsters,goblin_idle_left,1024,768,256,256,65536
monsters,goblin_walk_left,1280,768,256,256,65536
monsters,goblin_idle_right,1536,768,256,256,65536
monsters,goblin_walk_right,1792,768,256,256,65536
monsters,skeleton_idle_front,0,1024,256,256,65536
monsters,skeleton_walk_front,256,1024,256,256,65536
monsters,skeleton_idle_back,512,1024,256,256,65536
monsters,skeleton_walk_back,768,1024,256,256,65536
monsters,skeleton_idle_left,1024,1024,256,256,65536
monsters,skeleton_walk_left,1280,1024,256,256,65536
monsters,skeleton_idle_right,1536,1024,256,256,65536
monsters,skeleton_walk_right,1792,1024,256,256,65536
monsters,wolf_idle_front,0,1280,256,256,65536
monsters,wolf_walk_front,256,1280,256,256,65536
monsters,wolf_idle_back,512,1280,256,256,65536
monsters,wolf_walk_back,768,1280,256,256,65536
monsters,wolf_idle_left,1024,1280,256,256,65536
monsters,wolf_walk_left,1280,1280,256,256,65536
monsters,wolf_idle_right,1536,1280,256,256,65536
monsters,wolf_walk_right,1792,1280,256,256,65536
monsters,spirit_idle,0,1536,256,256,65536
monsters,spirit_float,256,1536,256,256,65536
monsters,spirit_idle_2,512,1536,256,256,65536
monsters,spirit_float_2,768,1536,256,256,65536
monsters,spirit_left,1024,1536,256,256,65536
monsters,spirit_left_float,1280,1536,256,256,65536
monsters,spirit_right,1536,1536,256,256,65536
monsters,spirit_right_float,1792,1536,256,256,65536
monsters,orc_idle_front,0,1792,256,256,65536
monsters,orc_walk_front,256,1792,256,256,65536
monsters,orc_idle_back,512,1792,256,256,65536
monsters,orc_walk_back,768,1792,256,256,65536
monsters,orc_idle_left,1024,1792,256,256,65536
monsters,orc_walk_left,1280,1792,256,256,65536
monsters,orc_idle_right,1536,1792,256,256,65536
monsters,orc_walk_right,1792,1792,256,256,65536
