atlas,name,category,original_size,canonical_size,output
objects_props_v002,hay_bale,props_medium,192x170,64x64,public/assets/sprites/props_medium/hay_bale.png
objects_props_v002,crate_small,props_small,192x85,32x48,public/assets/sprites/props_small/crate_small.png
objects_props_v002,barrel_single,props_small,192x85,32x48,public/assets/sprites/props_small/barrel_single.png
objects_props_v002,sack_pair,props_small,192x85,32x48,public/assets/sprites/props_small/sack_pair.png
objects_props_v002,sack_single,props_small,192x85,32x48,public/assets/sprites/props_small/sack_single.png
objects_props_v002,fence_short,props_small,192x85,32x48,public/assets/sprites/props_small/fence_short.png
objects_props_v002,lamp_post,props_medium,192x170,64x64,public/assets/sprites/props_medium/lamp_post.png
objects_props_v002,well_small,props_small,192x85,32x48,public/assets/sprites/props_small/well_small.png
objects_props_v002,cart_empty,props_small,192x85,32x48,public/assets/sprites/props_small/cart_empty.png
objects_props_v002,sign_village,props_small,192x85,32x48,public/assets/sprites/props_small/sign_village.png
objects_props_v002,sign_forest,props_small,192x85,32x48,public/assets/sprites/props_small/sign_forest.png
objects_props_v002,sign_market,props_small,192x85,32x48,public/assets/sprites/props_small/sign_market.png
objects_props_v002,sign_double,props_small,192x85,32x48,public/assets/sprites/props_small/sign_double.png
objects_props_v002,pillory,props_medium,192x85,64x64,public/assets/sprites/props_medium/pillory.png
objects_props_v002,well_large,props_medium,192x170,64x64,public/assets/sprites/props_medium/well_large.png
objects_props_v002,lamp_post_2,props_medium,192x85,64x64,public/assets/sprites/props_medium/lamp_post_2.png
objects_props_v002,fence_long,props_medium,192x85,64x64,public/assets/sprites/props_medium/fence_long.png
objects_props_v002,gravestone_plain,props_small,192x170,32x48,public/assets/sprites/props_small/gravestone_plain.png
objects_props_v002,gravestone_cross,props_small,192x170,32x48,public/assets/sprites/props_small/gravestone_cross.png
objects_props_v002,gravestone_rounded,props_small,192x170,32x48,public/assets/sprites/props_small/gravestone_rounded.png
objects_props_v002,skull_pile,props_medium,192x170,64x64,public/assets/sprites/props_medium/skull_pile.png
objects_props_v002,chest_closed,props_medium,192x170,64x64,public/assets/sprites/props_medium/chest_closed.png
objects_props_v002,cauldron_small,props_medium,192x170,64x64,public/assets/sprites/props_medium/cauldron_small.png
objects_props_v002,table_small,props_medium,384x170,64x64,public/assets/sprites/props_medium/table_small.png
objects_props_v002,market_stall_goods,props_medium,192x170,64x64,public/assets/sprites/props_medium/market_stall_goods.png
objects_props_v002,cooking_pot,props_medium,192x170,64x64,public/assets/sprites/props_medium/cooking_pot.png
objects_props_v002,market_stall_food,props_medium,192x170,64x64,public/assets/sprites/props_medium/market_stall_food.png
objects_props_v002,table_large,props_medium,384x170,64x64,public/assets/sprites/props_medium/table_large.png
objects_props_v002,chest_open,props_medium,192x170,64x64,public/assets/sprites/props_medium/chest_open.png
objects_props_v002,market_stall_large,props_medium,192x170,64x64,public/assets/sprites/props_medium/market_stall_large.png
objects_props_v002,bucket_pair,props_medium,192x170,64x64,public/assets/sprites/props_medium/bucket_pair.png
objects_props_v002,mushroom_pile,props_small,192x170,32x48,public/assets/sprites/props_small/mushroom_pile.png
objects_props_v002,market_stall_covered,props_medium,384x170,64x64,public/assets/sprites/props_medium/market_stall_covered.png
objects_props_v002,campfire,props_medium,192x170,64x64,public/assets/sprites/props_medium/campfire.png
objects_props_v002,bush_small,props_medium,192x170,64x64,public/assets/sprites/props_medium/bush_small.png
objects_props_v003,ruin_arch_stone,props_large,307x204,128x192,public/assets/sprites/props_large/ruin_arch_stone.png
objects_props_v003,statue_knight,props_large,307x204,128x192,public/assets/sprites/props_large/statue_knight.png
objects_props_v003,fountain_round,props_large,307x256,128x192,public/assets/sprites/props_large/fountain_round.png
objects_props_v003,statue_robed,props_large,307x204,128x192,public/assets/sprites/props_large/statue_robed.png
objects_props_v003,tent_plain_01,props_large,307x204,128x192,public/assets/sprites/props_large/tent_plain_01.png
objects_props_v003,house_snow,buildings,307x204,256x256,public/assets/sprites/buildings/house_snow.png
objects_props_v003,bridge_stone_arch,props_large,307x204,128x192,public/assets/sprites/props_large/bridge_stone_arch.png
objects_props_v003,statue_angel_01,props_large,307x204,128x192,public/assets/sprites/props_large/statue_angel_01.png
objects_props_v003,statue_angel_02,props_large,307x204,128x192,public/assets/sprites/props_large/statue_angel_02.png
objects_props_v003,tent_plain_02,props_large,307x204,128x192,public/assets/sprites/props_large/tent_plain_02.png
objects_props_v003,bridge_stone_railing,props_large,307x204,128x192,public/assets/sprites/props_large/bridge_stone_railing.png
objects_props_v003,tent_circus,props_large,307x204,128x192,public/assets/sprites/props_large/tent_circus.png
objects_props_v003,tent_plain_03,props_large,307x204,128x192,public/assets/sprites/props_large/tent_plain_03.png
objects_props_v003,tent_plain_04,props_large,307x204,128x192,public/assets/sprites/props_large/tent_plain_04.png
objects_props_v003,tree_ruins_combo,props_large,307x204,128x192,public/assets/sprites/props_large/tree_ruins_combo.png
objects_props_v003,sarcophagus,props_large,307x204,128x192,public/assets/sprites/props_large/sarcophagus.png
objects_props_v003,crate_pile,props_medium,307x204,64x64,public/assets/sprites/props_medium/crate_pile.png
objects_props_v003,chest_treasure,props_medium,307x204,64x64,public/assets/sprites/props_medium/chest_treasure.png
objects_props_v003,campfire_large,props_medium,307x204,64x64,public/assets/sprites/props_medium/campfire_large.png
objects_props_v003,cauldron_magic,props_medium,307x204,64x64,public/assets/sprites/props_medium/cauldron_magic.png
objects_props_v003,bucket_magic,props_medium,307x204,64x64,public/assets/sprites/props_medium/bucket_magic.png
objects_props_v003,sack_pile,props_small,307x204,32x48,public/assets/sprites/props_small/sack_pile.png
objects_props_v003,table_market,props_medium,307x204,64x64,public/assets/sprites/props_medium/table_market.png
objects_props_v003,chest_medium,props_medium,307x204,64x64,public/assets/sprites/props_medium/chest_medium.png
objects_props_v003,column_ruins,props_large,307x204,128x192,public/assets/sprites/props_large/column_ruins.png
objects_props_v003,tower_ruins,props_large,307x204,128x192,public/assets/sprites/props_large/tower_ruins.png
